Frame Count,Predicted Label,SocketSend,Predicted Label
1,1,0,1
2,1,0,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,5,0,1
10,5,0,1
11,4,0,1
12,5,0,1
13,5,0,1
14,5,1,5
15,5,1,5
16,5,1,5
17,5,1,5
18,5,1,5
19,5,1,5
20,5,1,5
21,5,1,5
22,5,1,5
23,5,1,5
24,5,1,5
25,5,1,5
26,5,1,5
27,5,1,5
28,5,1,5
29,5,1,5
30,5,1,5
31,5,1,5
32,5,1,5
33,5,1,5
34,5,1,5
35,5,1,5
36,5,1,5
37,5,1,5
38,5,1,5
39,1,0,5
40,1,0,5
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,5,0,5
54,5,0,5
55,5,1,5
56,5,1,5
57,5,1,5
58,5,1,5
59,5,1,5
60,5,1,5
61,5,1,5
62,5,1,5
63,5,1,5
64,5,1,5
65,5,1,5
66,5,1,5
67,5,1,5
68,5,1,5
69,5,1,5
70,5,1,5
71,5,1,5
72,5,1,5
73,5,1,5
74,5,1,5
75,5,1,5
76,5,1,5
77,5,1,5
78,5,1,5
79,1,0,1
80,1,0,1
81,1,1,1
82,1,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
99,1,1,1
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
104,5,0,5
105,5,0,5
106,5,1,5
107,5,1,5
108,5,1,5
109,5,1,5
110,5,1,5
111,5,1,5
112,5,1,5
113,5,1,5
114,5,1,5
115,5,1,5
116,5,1,5
117,5,1,5
118,5,1,5
119,5,1,5
120,5,1,5
121,5,1,5
122,5,1,5
123,5,1,5
124,5,1,5
125,5,1,5
126,5,1,5
127,5,1,5
128,5,1,5
129,3,0,5
130,2,0,5
131,2,0,5
132,1,0,5
133,5,0,5
134,5,0,5
135,1,0,5
136,1,0,5
137,1,1,1
138,1,1,1
139,1,1,1
140,1,1,1
141,1,1,1
142,1,1,1
143,1,1,1
144,1,1,1
145,1,1,1
146,1,1,1
147,1,1,1
148,5,0,1
149,5,0,1
150,5,1,1
151,1,0,1
152,1,0,1
153,1,1,1
154,1,1,1
155,1,1,1
156,1,1,1
157,1,1,1
158,1,1,1
159,1,1,1
160,1,1,1
161,1,1,1
162,1,1,1
163,4,0,4
164,4,0,4
165,4,1,4
166,4,1,4
167,4,1,4
168,4,1,4
169,4,1,4
170,4,1,4
171,4,1,4
172,4,1,4
173,4,1,4
174,4,1,4
175,4,1,4
176,4,1,4
177,4,1,4
178,4,1,4
179,4,1,4
180,4,1,4
181,4,1,4
